2026-08-12T09:27:26-05:00	ns3_allextra	OK	ROF_NS=3 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXTRA=log10,floor,sumreduce,cast,scatter,gather,select,pow
2026-08-12T09:28:16-05:00	bisect2	OK	ROF_NS=13 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=add_pad_pad_to_concat,add_reduce_slice_fusion,and_reduce_slice_fusion,binop_pad_to_concat_add,binop_pad_to_concat_mul,concat_broadcast_slice,concat_concat_axis_swap,concat_concat_to_dus,concat_const_prop,concat_elementwise,concat_fuse,concat_insert_dim_convolution,concat_insert_dim_dot_general,concat_insert_dim_elementwise,concat_insert_dim_gather,concat_insert_dim_iota,concat_insert_dim_reduce,concat_insert_dim_reduce_window,concat_insert_dim_sort,concat_multipad,concat_pad,concat_push_binop_add
2026-08-12T09:28:29-05:00	ns3_allextra_nt	OK	ROF_NS=3 ROF_NC=5 ROF_THETA=nt ROF_JAC=ad ROF_MODE=vjp ROF_EXTRA=log10,floor,sumreduce,cast,scatter,gather,select,pow
2026-08-12T09:29:30-05:00	bisect3	OK	ROF_NS=13 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=add_pad_pad_to_concat,add_reduce_slice_fusion,and_reduce_slice_fusion,binop_pad_to_concat_add,binop_pad_to_concat_mul,concat_broadcast_slice,concat_concat_axis_swap,concat_concat_to_dus,concat_const_prop,concat_elementwise,concat_fuse
2026-08-12T09:30:04-05:00	bisect4	EXIT1	ROF_NS=13 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=add_pad_pad_to_concat,add_reduce_slice_fusion,and_reduce_slice_fusion,binop_pad_to_concat_add,binop_pad_to_concat_mul
2026-08-12T09:30:21-05:00	ns3_dyngather	EXIT1	ROF_NS=3 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXTRA=dyngather
2026-08-12T09:30:25-05:00	ns13_nt_allextra	OK	ROF_NS=13 ROF_NC=5 ROF_THETA=nt ROF_JAC=ad ROF_MODE=vjp ROF_EXTRA=log10,floor,sumreduce,cast,scatter,gather,select,pow ROF_EXCL=add_pad_pad_to_concat,add_reduce_slice_fusion,and_reduce_slice_fusion,binop_pad_to_concat_add,binop_pad_to_concat_mul,concat_broadcast_slice,concat_concat_axis_swap,concat_concat_to_dus,concat_const_prop,concat_elementwise,concat_fuse,concat_insert_dim_convolution,concat_insert_dim_dot_general,concat_insert_dim_elementwise,concat_insert_dim_gather,concat_insert_dim_iota,concat_insert_dim_reduce,concat_insert_dim_reduce_window,concat_insert_dim_sort,concat_multipad,concat_pad,concat_push_binop_add,concat_push_binop_mul,concat_reshape_reduce,concat_reshape_slice,concat_slice,concat_slices_to_reverse,concat_to_broadcast,concat_to_pad,concat_wrap,concatenate_add_to_add_pad,concatenate_broadcast_in_dim,concatenate_licm,concatenate_op_canon,concatenate_subtract_to_subtract_pad,convert_concat,cse_concatenate,cse_slice,dus_concat,dus_dus_concat,dus_dynamic_slice_simplify,dus_slice_simplify,dynamic_slice_dynamic_slice,dynamic_slice_elementwise,dynamic_slice_licm,dynamic_slice_simplify,dynamic_slice_slice,dynamic_slice_to_static,dynamic_update_slice_const_prop,dynamic_update_slice_elim,dynamic_update_to_concat,hoist_slice,lower_multislice,max_reduce_slice_fusion,min_reduce_slice_fusion,mul_reduce_slice_fusion,negative_pad_to_slice,noop_slice,or_reduce_slice_fusion,pad_concat_to_concat_pad,reduce_concat,reshape_concat,reshape_dynamic_slice,reshape_slice,reshape_slice_reshape,scatter_to_dynamic_update_slice,slice_broadcast,slice_concat,slice_dot_general,slice_dus_to_concat,slice_dynamic_slice,slice_elementwise,slice_extend,slice_if,slice_internal,slice_licm,slice_of_dynamic_update,slice_of_updatewithoutcorners,slice_pad,slice_reduce_window,slice_reverse,slice_select_to_select_slice,slice_simplify,slice_slice,transpose_concat,transpose_dynamic_slice,transpose_like_broadcast_dynamic_slice,transpose_like_broadcast_slice,transpose_slice,xor_reduce_slice_fusion
2026-08-12T09:31:13-05:00	cost_ns3_ad_out	OK	ROF_NS=3 ROF_NC=64 ROF_THETA=vec ROF_JAC=ad ROF_MODE=out
2026-08-12T09:31:15-05:00	ns3_traceif	OK	ROF_NS=3 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXTRA=traceif
2026-08-12T09:31:52-05:00	bisect5	OK	ROF_NS=13 ROF_NC=5 ROF_THETA=vec ROF_JAC=ad ROF_MODE=vjp ROF_EXCL=concat_broadcast_slice,concat_concat_axis_swap,concat_concat_to_dus
